,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
51,2019-02-27,96.19000244140625,96.5999984741211,94.75,95.7699966430664,2892500,0,0
52,2019-02-28,95.55000305175781,96.69999694824219,95.13999938964844,96.33000183105469,2551600,0,0
53,2019-03-01,96.86000061035156,97.38999938964844,95.94999694824219,96.36000061035156,2153400,0,0
54,2019-03-04,96.41999816894531,97.05000305175781,95.01000213623047,95.2699966430664,1945100,0,0
55,2019-03-05,96.13999938964844,96.13999938964844,95.08000183105469,95.47000122070312,2565600,0,0
56,2019-03-06,97.66000366210938,101.08999633789062,95.19999694824219,100.3499984741211,10496200,0,0
57,2019-03-07,99.43000030517578,103.51000213623047,99.04000091552734,103.16000366210938,5266000,0,0
58,2019-03-08,102.41999816894531,104.19000244140625,101.12999725341797,102.4000015258789,2332400,0,0
59,2019-03-11,102.19000244140625,103.91000366210938,101.66000366210938,103.83999633789062,2199700,0,0
60,2019-03-12,104.2699966430664,104.48999786376953,101.95999908447266,102.44999694824219,1885700,0,0
61,2019-03-13,102.62000274658203,103.22000122070312,102.19999694824219,102.55999755859375,1746500,0,0
62,2019-03-14,101.75,101.75,99.83999633789062,100.6500015258789,2565800,0,0
63,2019-03-15,100.5199966430664,100.79000091552734,99.51000213623047,99.86000061035156,3500200,0,0
64,2019-03-18,100.41000366210938,101.08000183105469,99.7699966430664,101.02999877929688,1738100,0,0
65,2019-03-19,101.13999938964844,102.2300033569336,100.80999755859375,101.30999755859375,2081100,0,0
66,2019-03-20,101.30999755859375,102.31999969482422,101.05999755859375,101.3499984741211,2119900,0,0
67,2019-03-21,101.73999786376953,102.38999938964844,101.30000305175781,101.41000366210938,1341600,0,0
68,2019-03-22,101.04000091552734,102.1500015258789,101.0,101.43000030517578,1423200,0,0
69,2019-03-25,101.4000015258789,102.55999755859375,101.27999877929688,101.95999908447266,1801200,0,0
70,2019-03-26,102.69999694824219,102.83999633789062,101.43000030517578,101.7699966430664,1280400,0,0
71,2019-03-27,102.06999969482422,105.1500015258789,101.45999908447266,104.22000122070312,2594700,0,0
72,2019-03-28,104.27999877929688,104.75,103.43000030517578,103.47000122070312,1332500,0,0
73,2019-03-29,103.7300033569336,105.23999786376953,103.2699966430664,105.04000091552734,1897400,0,0
74,2019-04-01,105.5999984741211,105.6500015258789,102.55000305175781,103.72000122070312,1922400,0,0
75,2019-04-02,103.30999755859375,104.30999755859375,102.76000213623047,104.11000061035156,1824200,0,0
76,2019-04-03,104.0999984741211,105.87000274658203,103.91999816894531,104.70999908447266,2025000,0,0
77,2019-04-04,104.72000122070312,105.97000122070312,104.0999984741211,105.62999725341797,1886300,0,0
78,2019-04-05,105.62999725341797,106.9000015258789,105.27999877929688,105.98999786376953,2615000,0,0
79,2019-04-08,104.41999816894531,104.93000030517578,102.0199966430664,102.44000244140625,3993700,0,0
80,2019-04-09,102.0,103.37999725341797,101.48999786376953,102.5999984741211,2913200,0,0
81,2019-04-10,102.8499984741211,103.75,102.76000213623047,103.43000030517578,2408800,0,0
